Draw Date,Winning Numbers,,,,,Powerball,Power Play
02/12/2020,55,68,47,54,14,25,2
02/08/2020,59,66,35,50,49,6,2
02/05/2020,57,41,35,30,23,2,3
02/01/2020,33,60,54,57,12,13,4
01/29/2020,12,60,9,15,31,2,2
01/25/2020,36,17,2,67,9,18,2
01/22/2020,33,59,44,67,11,8,3
01/18/2020,24,68,20,38,56,18,2
01/15/2020,39,55,53,41,68,19,2
01/11/2020,23,59,31,3,21,3,2
01/08/2020,7,43,56,4,2,22,4
01/04/2020,54,1,25,21,11,7,2
01/01/2020,49,53,57,59,62,26,2
12/28/2019,59,23,39,20,60,18,2
12/25/2019,4,16,2,30,46,20,2
12/21/2019,50,35,67,19,31,14,2
12/18/2019,39,26,68,18,14,9,2
12/14/2019,6,32,3,12,64,19,3
12/11/2019,24,42,29,44,63,10,4
12/07/2019,66,53,18,42,62,25,3
12/04/2019,8,44,61,51,27,14,3
11/30/2019,42,35,15,63,68,18,4
11/27/2019,26,55,37,53,15,21,2
11/23/2019,38,28,66,35,61,23,3
11/20/2019,40,15,39,57,7,12,2
11/16/2019,26,55,63,14,22,26,3
11/13/2019,23,28,66,27,26,11,2
11/09/2019,14,38,60,35,17,25,2
11/06/2019,64,46,28,62,15,17,3
11/02/2019,23,37,32,58,3,22,2
10/30/2019,56,67,52,19,22,21,2
10/26/2019,3,54,20,59,48,4,4
10/23/2019,61,50,12,5,69,23,2
10/19/2019,65,27,59,14,29,12,2
10/16/2019,67,1,25,5,63,3,2
10/12/2019,12,34,53,65,29,23,2
10/09/2019,5,43,65,18,33,2,2
10/05/2019,6,51,36,54,14,4,2
10/02/2019,43,53,8,10,4,7,2
09/28/2019,51,55,34,15,23,4,2
09/25/2019,44,43,37,45,53,25,3
09/21/2019,1,68,36,22,9,22,2
09/18/2019,14,19,47,51,39,15,3
09/14/2019,31,11,27,36,67,11,2
09/11/2019,53,24,57,6,17,3,3
09/07/2019,41,56,20,11,42,6,2
09/04/2019,52,30,8,4,59,2,10
08/31/2019,41,50,14,56,57,18,5
08/28/2019,32,9,41,56,37,14,10
08/24/2019,47,20,12,21,5,1,2
08/21/2019,22,32,21,12,29,21,2
08/17/2019,24,30,18,21,60,20,3
08/14/2019,51,69,30,10,13,10,2
08/10/2019,41,59,58,44,35,3,3
08/07/2019,47,8,59,32,53,3,3
08/03/2019,45,68,3,6,66,13,2
07/31/2019,14,37,67,47,55,6,2
07/27/2019,61,19,1,48,31,6,2
07/24/2019,29,53,56,35,22,13,2
07/20/2019,5,64,36,26,69,19,3
07/17/2019,19,47,68,60,43,10,2
07/13/2019,32,35,13,23,68,21,3
07/10/2019,7,68,9,26,44,3,3
07/06/2019,4,8,46,23,65,1,2
07/03/2019,50,45,43,40,61,25,3
06/29/2019,59,13,24,62,17,8,2
06/26/2019,54,22,16,1,5,24,3
06/22/2019,66,14,3,6,11,21,2
06/19/2019,26,38,21,4,18,1,3
06/15/2019,8,11,49,16,14,14,3
06/12/2019,42,57,35,38,5,13,2
06/08/2019,13,9,48,42,60,18,2
06/05/2019,38,17,28,34,23,8,3
06/01/2019,34,45,6,52,15,8,2
05/29/2019,61,3,42,32,34,7,2
05/25/2019,43,39,2,66,1,2,3
05/22/2019,7,44,57,10,20,3,2
05/18/2019,2,10,66,67,25,26,4
05/15/2019,33,68,61,17,7,4,2
